Datum,close_price,open_price,high_price,low_price,rsi,mfi,tv,sma,williams,regrs,cci,is_in_time,time
17.02.2022 04:56:06,1.134000,1.136000,1.136000,1.134000,46.1,28.533099,1.000000,1.135571,-66.666667,0.319964,NaN,0.0,4.0
17.02.2022 09:00:54,1.138000,1.136000,1.138000,1.136000,52.0,35.701703,1.000000,1.135143,-37.500000,0.080036,NaN,1.0,9.0
18.02.2022 15:09:54,1.134000,1.136000,1.136000,1.134000,46.5,35.719681,1.000000,1.134571,-57.142857,0.007633,NaN,1.0,15.0
18.02.2022 17:08:15,1.132000,1.134000,1.134000,1.132000,44.0,35.737677,1.000000,1.134000,-66.666667,0.002344,NaN,0.0,17.0
21.02.2022 04:16:22,1.136000,1.134000,1.136000,1.134000,49.8,42.896737,1.000000,1.133857,-20.000000,0.106142,-48.180924,0.0,4.0
21.02.2022 09:06:03,1.138000,1.136000,1.138000,1.136000,52.5,50.058789,1.000000,1.134000,-0.000000,0.323663,-15.651582,1.0,9.0
21.02.2022 13:20:19,1.134000,1.136000,1.136000,1.134000,47.1,50.058789,1.000000,1.134000,-40.000000,0.323663,-54.609929,1.0,13.0
21.02.2022 19:19:54,1.132000,1.134000,1.134000,1.132000,44.7,50.058789,1.000000,1.134000,-60.000000,0.159560,-81.081081,0.0,19.0
22.02.2022 00:19:45,1.130000,1.132000,1.132000,1.130000,42.3,50.058789,1.000000,1.134000,-80.000000,0.003663,-110.491071,0.0,0.0
22.02.2022 11:21:55,1.134000,1.132000,1.134000,1.132000,48.2,57.180639,1.000000,1.134429,-50.000000,0.066127,-61.141805,1.0,11.0
22.02.2022 11:52:19,1.136000,1.134000,1.136000,1.134000,50.9,57.191421,1.000000,1.134714,-25.000000,0.105748,-23.668639,1.0,11.0
23.02.2022 04:09:24,1.132000,1.134000,1.134000,1.132000,45.8,50.058759,1.000000,1.134571,-75.000000,0.229505,-66.874028,0.0,4.0
24.02.2022 01:08:04,1.130000,1.132000,1.132000,1.130000,43.4,42.923716,1.000000,1.134143,-100.000000,0.318492,-98.425197,0.0,1.0
24.02.2022 01:59:48,1.128000,1.130000,1.130000,1.128000,41.1,35.780896,1.000000,1.133429,-100.000000,0.350952,-125.734430,0.0,1.0
24.02.2022 04:25:24,1.126000,1.128000,1.128000,1.126000,38.9,35.798941,1.000000,1.132857,-100.000000,0.519894,-154.338265,0.0,4.0
24.02.2022 04:45:53,1.124000,1.126000,1.126000,1.124000,36.7,28.651945,1.000000,1.131857,-100.000000,0.545496,-180.161943,0.0,4.0
24.02.2022 05:13:14,1.122000,1.124000,1.124000,1.122000,34.7,28.673654,1.000000,1.131000,-100.000000,0.658557,-200.241255,0.0,5.0
24.02.2022 09:11:50,1.126000,1.124000,1.126000,1.124000,41.7,35.795502,1.000000,1.130571,-75.000000,0.769574,-142.332790,1.0,9.0
24.02.2022 10:50:36,1.122000,1.124000,1.124000,1.122000,37.4,28.646689,1.000000,1.129571,-100.000000,0.794750,-179.918033,1.0,10.0
24.02.2022 11:03:06,1.120000,1.122000,1.122000,1.120000,35.4,21.479200,1.000000,1.128286,-100.000000,0.794382,-195.763044,1.0,11.0
24.02.2022 11:30:54,1.118000,1.120000,1.120000,1.118000,33.5,21.500971,1.000000,1.127143,-100.000000,0.822242,-207.113746,1.0,11.0
24.02.2022 12:18:26,1.116000,1.118000,1.118000,1.116000,31.7,21.522787,1.000000,1.126000,-100.000000,0.872006,-211.190720,1.0,12.0
24.02.2022 16:11:22,1.114000,1.116000,1.116000,1.114000,29.9,21.544647,1.000000,1.124857,-100.000000,0.946925,-208.923077,1.0,16.0
24.02.2022 16:58:13,1.112000,1.114000,1.114000,1.112000,28.2,14.369253,1.000000,1.123286,-100.000000,0.951742,-205.334815,1.0,16.0
24.02.2022 18:28:45,1.116000,1.114000,1.116000,1.114000,36.0,14.260257,1.000000,1.121857,-81.818182,0.921119,-150.315259,0.0,18.0
24.02.2022 19:49:12,1.118000,1.116000,1.118000,1.116000,39.5,21.392169,1.000000,1.120857,-70.000000,0.822242,-114.145658,0.0,19.0
24.02.2022 19:53:48,1.120000,1.118000,1.120000,1.118000,42.9,28.543500,1.000000,1.120143,-55.555556,0.628423,-83.333333,0.0,19.0
24.02.2022 21:28:22,1.122000,1.120000,1.122000,1.120000,46.2,35.708819,1.000000,1.119714,-37.500000,0.340375,-57.851240,0.0,21.0
25.02.2022 09:19:22,1.118000,1.120000,1.120000,1.118000,41.1,35.727048,1.000000,1.119143,-57.142857,0.222321,-77.522646,1.0,9.0
25.02.2022 13:50:53,1.122000,1.120000,1.122000,1.120000,47.3,42.891792,1.000000,1.119000,-28.571429,0.048907,-47.098402,1.0,13.0
25.02.2022 14:57:57,1.124000,1.122000,1.124000,1.122000,50.2,50.059569,1.000000,1.119143,-14.285714,0.002223,-25.324675,1.0,14.0
25.02.2022 17:16:30,1.126000,1.124000,1.126000,1.124000,52.9,50.059569,1.000000,1.119143,-0.000000,0.249800,-2.016129,0.0,17.0
27.02.2022 23:05:00,1.114000,1.116000,1.116000,1.114000,37.7,50.059569,1.000000,1.119143,-85.714286,0.015029,-105.490083,0.0,23.0
28.02.2022 00:35:20,1.118000,1.116000,1.118000,1.116000,44.5,57.173848,1.000000,1.119571,-66.666667,0.037026,-66.370370,0.0,0.0
28.02.2022 08:34:48,1.120000,1.118000,1.120000,1.118000,47.5,57.184776,1.000000,1.119857,-50.000000,0.116169,-36.144578,1.0,8.0
28.02.2022 11:58:27,1.122000,1.120000,1.122000,1.120000,50.5,57.195697,1.000000,1.120143,-33.333333,0.116169,-2.938296,1.0,11.0
28.02.2022 14:27:41,1.118000,1.120000,1.120000,1.118000,45.0,50.059524,1.000000,1.120000,-66.666667,0.176988,-37.477477,1.0,14.0
28.02.2022 15:36:34,1.122000,1.120000,1.122000,1.120000,50.8,50.059524,1.000000,1.120000,-33.333333,0.068390,13.237064,1.0,15.0
28.02.2022 17:28:25,1.124000,1.122000,1.124000,1.122000,53.4,57.206614,1.000000,1.120429,-16.666667,0.037026,59.582036,0.0,17.0
28.02.2022 18:37:05,1.120000,1.122000,1.122000,1.120000,47.9,50.059509,1.000000,1.120286,-50.000000,0.020800,12.404580,0.0,18.0
01.03.2022 11:12:22,1.118000,1.120000,1.120000,1.118000,45.4,42.909988,1.000000,1.119857,-66.666667,0.005640,-26.970954,1.0,11.0
01.03.2022 13:48:17,1.116000,1.118000,1.118000,1.116000,43.0,35.752574,1.000000,1.119143,-80.000000,0.002766,-72.222222,1.0,13.0
01.03.2022 16:03:21,1.114000,1.116000,1.116000,1.114000,40.6,35.770835,1.000000,1.118571,-100.000000,0.000609,-119.402985,1.0,16.0
01.03.2022 17:18:55,1.112000,1.114000,1.114000,1.112000,38.4,35.789115,1.000000,1.118000,-100.000000,0.037478,-157.627119,0.0,17.0
01.03.2022 17:58:47,1.110000,1.112000,1.112000,1.110000,36.2,35.807414,1.000000,1.117429,-100.000000,0.160998,-195.979899,0.0,17.0
02.03.2022 09:14:07,1.108000,1.110000,1.110000,1.108000,34.2,35.825731,1.000000,1.116857,-100.000000,0.383119,-219.626168,1.0,9.0
02.03.2022 10:20:59,1.106000,1.108000,1.108000,1.106000,32.2,35.844067,1.000000,1.116286,-100.000000,0.699846,-234.042553,1.0,10.0
02.03.2022 11:42:29,1.110000,1.108000,1.110000,1.108000,39.7,35.811214,1.000000,1.115714,-77.777778,0.799837,-154.827733,1.0,11.0
02.03.2022 16:48:50,1.106000,1.108000,1.108000,1.106000,35.5,28.669656,1.000000,1.114714,-100.000000,0.862618,-185.534591,1.0,16.0
02.03.2022 17:31:16,1.110000,1.108000,1.110000,1.108000,42.1,28.614780,1.000000,1.113857,-77.777778,0.801528,-126.688572,0.0,17.0
02.03.2022 17:32:21,1.112000,1.110000,1.112000,1.110000,45.2,35.756435,1.000000,1.113429,-66.666667,0.725056,-88.629944,0.0,17.0
02.03.2022 17:33:43,1.114000,1.112000,1.114000,1.112000,48.1,35.723453,1.000000,1.112857,-55.555556,0.491521,-52.721088,0.0,17.0
02.03.2022 18:01:00,1.110000,1.112000,1.112000,1.110000,43.1,28.537786,1.000000,1.111857,-75.000000,0.351800,-85.986216,0.0,18.0
02.03.2022 18:32:46,1.108000,1.110000,1.110000,1.108000,40.8,28.559798,1.000000,1.111000,-85.714286,0.259526,-105.014191,0.0,18.0
02.03.2022 19:33:45,1.112000,1.110000,1.112000,1.110000,46.9,35.719798,1.000000,1.110571,-50.000000,0.060929,-62.326442,0.0,19.0
03.03.2022 10:20:29,1.108000,1.110000,1.110000,1.108000,42.2,35.738183,1.000000,1.110000,-80.000000,0.012787,-91.901729,1.0,10.0
03.03.2022 16:32:15,1.106000,1.108000,1.108000,1.106000,40.1,35.756587,1.000000,1.109429,-100.000000,0.007587,-111.010558,1.0,16.0
03.03.2022 17:14:57,1.104000,1.106000,1.106000,1.104000,38.0,35.775011,1.000000,1.108857,-100.000000,0.033881,-128.498345,0.0,17.0
04.03.2022 01:37:42,1.102000,1.104000,1.104000,1.102000,36.0,35.793453,1.000000,1.108286,-100.000000,0.126031,-148.249619,0.0,1.0
04.03.2022 11:58:20,1.100000,1.102000,1.102000,1.100000,34.1,35.811914,1.000000,1.107714,-100.000000,0.305992,-165.007541,1.0,11.0
04.03.2022 12:36:27,1.098000,1.100000,1.100000,1.098000,32.2,35.830395,1.000000,1.107143,-100.000000,0.574918,-178.267254,1.0,12.0
04.03.2022 13:38:32,1.096000,1.098000,1.098000,1.096000,30.4,28.698085,1.000000,1.106143,-100.000000,0.677690,-188.844847,1.0,13.0
04.03.2022 13:55:52,1.094000,1.096000,1.096000,1.094000,28.7,28.720334,1.000000,1.105286,-100.000000,0.882071,-194.645248,1.0,13.0
04.03.2022 14:36:53,1.092000,1.094000,1.094000,1.092000,27.1,21.576406,1.000000,1.104000,-100.000000,0.945876,-193.308550,1.0,14.0
04.03.2022 14:49:06,1.090000,1.092000,1.092000,1.090000,25.5,14.407841,1.000000,1.102429,-100.000000,0.965686,-192.953803,1.0,14.0
04.03.2022 22:49:47,1.094000,1.092000,1.094000,1.092000,33.8,14.296831,1.000000,1.101000,-81.818182,0.932452,-145.038168,0.0,22.0
07.03.2022 00:03:40,1.090000,1.092000,1.092000,1.090000,30.2,14.315398,1.000000,1.099571,-100.000000,0.936372,-156.552887,0.0,0.0
07.03.2022 00:09:39,1.088000,1.090000,1.090000,1.088000,28.5,14.334012,1.000000,1.098143,-100.000000,0.948558,-155.710030,0.0,0.0
07.03.2022 02:03:08,1.086000,1.088000,1.088000,1.086000,26.9,7.119910,1.000000,1.096286,-100.000000,0.955709,-154.411765,0.0,2.0
07.03.2022 02:19:46,1.084000,1.086000,1.086000,1.084000,25.4,7.131055,1.000000,1.094571,-100.000000,0.956740,-155.313351,0.0,2.0
07.03.2022 04:27:48,1.088000,1.086000,1.088000,1.086000,33.5,14.240933,1.000000,1.093286,-81.818182,0.911010,-120.850167,0.0,4.0
07.03.2022 11:11:33,1.084000,1.086000,1.086000,1.084000,30.0,14.259558,1.000000,1.091857,-100.000000,0.906521,-130.584192,1.0,11.0
07.03.2022 11:27:43,1.082000,1.084000,1.084000,1.082000,28.4,14.278231,1.000000,1.090429,-100.000000,0.907491,-134.473508,1.0,11.0
07.03.2022 12:56:24,1.086000,1.084000,1.086000,1.084000,35.8,21.406100,1.000000,1.089429,-77.777778,0.837346,-104.601828,1.0,12.0
07.03.2022 13:21:15,1.088000,1.086000,1.088000,1.086000,39.1,28.553938,1.000000,1.088714,-62.500000,0.671641,-83.373728,1.0,13.0
07.03.2022 13:33:48,1.090000,1.088000,1.090000,1.088000,42.4,35.716161,1.000000,1.088286,-42.857143,0.386526,-64.001290,1.0,13.0
07.03.2022 13:38:05,1.092000,1.090000,1.092000,1.090000,45.5,42.887148,1.000000,1.088143,-16.666667,0.091715,-46.066504,1.0,13.0
07.03.2022 16:12:31,1.088000,1.090000,1.090000,1.088000,40.8,42.898411,1.000000,1.087857,-50.000000,0.026459,-61.419397,1.0,16.0
07.03.2022 16:28:00,1.086000,1.088000,1.088000,1.086000,38.6,42.909680,1.000000,1.087571,-66.666667,0.019990,-72.920175,1.0,16.0
07.03.2022 19:27:04,1.090000,1.088000,1.090000,1.088000,44.9,42.894679,1.000000,1.087286,-20.000000,0.066289,-48.285276,0.0,19.0
07.03.2022 20:33:04,1.086000,1.088000,1.088000,1.086000,40.4,42.905953,1.000000,1.087000,-60.000000,0.121627,-65.556153,0.0,20.0
08.03.2022 09:12:37,1.090000,1.088000,1.090000,1.088000,46.2,50.061323,1.000000,1.087143,-20.000000,0.262921,-39.772727,1.0,9.0
08.03.2022 09:27:07,1.092000,1.090000,1.092000,1.090000,48.9,57.214170,1.000000,1.087571,-0.000000,0.369267,-18.824990,1.0,9.0
08.03.2022 10:10:37,1.088000,1.090000,1.090000,1.088000,44.2,57.199142,1.000000,1.087857,-40.000000,0.241951,-41.428244,1.0,10.0
08.03.2022 13:18:45,1.092000,1.090000,1.092000,1.090000,49.4,57.210381,1.000000,1.088143,-0.000000,0.391721,-7.790902,1.0,13.0
08.03.2022 16:19:12,1.088000,1.090000,1.090000,1.088000,44.9,57.195362,1.000000,1.088429,-40.000000,0.222181,-35.483871,1.0,16.0
08.03.2022 18:17:02,1.092000,1.090000,1.092000,1.090000,49.9,64.321322,1.000000,1.089143,-0.000000,0.145271,7.311399,0.0,18.0
08.03.2022 18:33:47,1.094000,1.092000,1.094000,1.092000,52.2,64.340035,1.000000,1.089714,-0.000000,0.174805,49.030787,0.0,18.0
08.03.2022 21:42:07,1.090000,1.092000,1.092000,1.090000,47.4,57.199039,1.000000,1.089857,-50.000000,0.117562,11.450382,0.0,21.0
09.03.2022 09:24:06,1.094000,1.092000,1.094000,1.092000,52.1,57.210257,1.000000,1.090143,-0.000000,0.255404,76.071257,1.0,9.0
09.03.2022 10:27:01,1.096000,1.094000,1.096000,1.094000,54.3,57.221470,1.000000,1.090429,-0.000000,0.565611,132.669114,1.0,10.0
09.03.2022 11:04:56,1.098000,1.096000,1.098000,1.096000,56.5,64.373636,1.000000,1.091143,-0.000000,0.645517,186.579378,1.0,11.0
09.03.2022 14:18:56,1.100000,1.098000,1.100000,1.098000,58.6,71.512059,1.000000,1.092143,-0.000000,0.660805,229.110512,1.0,14.0
09.03.2022 15:08:14,1.102000,1.100000,1.102000,1.100000,60.6,71.534405,1.000000,1.093000,-0.000000,0.764297,254.434871,1.0,15.0
09.03.2022 15:08:32,1.104000,1.102000,1.104000,1.102000,62.6,78.660979,1.000000,1.094286,-0.000000,0.768758,262.002743,1.0,15.0
09.03.2022 17:05:55,1.106000,1.104000,1.106000,1.104000,64.5,78.683249,1.000000,1.095429,-0.000000,0.825722,255.952381,0.0,17.0
09.03.2022 17:26:33,1.108000,1.106000,1.108000,1.106000,66.4,78.705474,1.000000,1.096571,-0.000000,0.912498,244.406196,0.0,17.0
10.03.2022 09:11:54,1.104000,1.106000,1.106000,1.104000,59.6,78.623503,1.000000,1.097714,-20.000000,0.886668,167.257683,1.0,9.0
10.03.2022 10:00:28,1.108000,1.106000,1.108000,1.106000,63.6,78.645743,1.000000,1.098857,-0.000000,0.925646,174.899866,1.0,10.0
10.03.2022 10:03:15,1.104000,1.106000,1.106000,1.104000,57.5,78.564005,1.000000,1.100000,-22.222222,0.849357,124.231242,1.0,10.0
10.03.2022 13:45:56,1.108000,1.106000,1.108000,1.106000,61.5,78.586261,1.000000,1.101143,-0.000000,0.837396,139.344262,1.0,13.0
10.03.2022 13:47:08,1.110000,1.108000,1.110000,1.108000,63.3,78.608470,1.000000,1.102286,-0.000000,0.843343,142.011834,1.0,13.0
10.03.2022 13:54:06,1.112000,1.110000,1.112000,1.110000,65.2,85.697639,1.000000,1.103857,-0.000000,0.855685,144.490644,1.0,13.0
10.03.2022 14:09:56,1.108000,1.110000,1.110000,1.108000,58.9,78.541864,1.000000,1.104857,-22.222222,0.780057,108.761329,1.0,14.0
10.03.2022 14:44:27,1.106000,1.108000,1.108000,1.106000,56.0,71.405799,1.000000,1.105571,-37.500000,0.603772,83.564907,1.0,14.0
10.03.2022 15:10:51,1.104000,1.106000,1.106000,1.104000,53.2,64.283869,1.000000,1.106000,-57.142857,0.297867,60.761491,1.0,15.0
10.03.2022 15:30:45,1.102000,1.104000,1.104000,1.102000,50.5,57.170534,1.000000,1.106143,-83.333333,0.023742,39.809863,1.0,15.0
